"best_contact_id","company.blog_url","company.careers_url","company.description","company.hq_location","company.industry","company.name","company.size_hint","company.socials.github","company.socials.instagram","company.socials.linkedin","company.socials.telegram","company.socials.twitter","cost.crawl_usd","cost.domain_usd","cost.enrich_usd","cost.total_usd","domain","icp.crawl_reason","icp.crawl_score","icp.filtering_strict","icp.pre_pass","icp.pre_reason","icp.pre_score","icp.scoring_meta.method","icp.scoring_meta.model","icp.scoring_meta.prompt_fingerprint","icp.scoring_meta.temperature","icp.threshold","lead_id","provenance.cache.domain_cache_hit","provenance.crawled_at","provenance.enriched_at","provenance.evidence_paths.crawl","provenance.evidence_paths.domain","provenance.evidence_paths.enrich","provenance.next_revisit_at","provenance.queries","provenance.scored_at","provenance.tool_versions.crawl.schema_version","provenance.tool_versions.crawl.version","provenance.tool_versions.domain.schema_version","provenance.tool_versions.domain.version","provenance.tool_versions.enrich.schema_version","provenance.tool_versions.enrich.version","status"
"","","","","","","","","","","","","","0.0","0.0009","0.0","0.0009","cansulta.com","","","false","false","Failed to parse response","0.0","llm","llama3","1198716240d489477534e5957b90e885997fa49154e7458be05ea61f05064051","0.0","0.3","b4376412-aea7-5181-94cb-e4e2810eaf47","","","","","/tmp/tmph9qvmxnb/evidence/domain/cansulta.com.json","","2026-06-30T12:37:31.800920Z","startup advisory services founder contact","2026-04-01T12:37:31.800906Z","","","8055c3bc72e3878ba6e1a5f7b874d5945ec7ff3c74a9c42d6abab1ee969654ae","1.0.0","","","scored"
"","","","","","","","","","","","","","0.0","0.0009","0.0","0.0009","maynardnexsen.com","","","false","false","Failed to parse response","0.0","llm","llama3","52f173a013f6098a7b037589ab112f6e5d6c109af4c5579108039ffdc1a429ea","0.0","0.3","f93d6fcd-ad7a-500e-b722-6c101e658a48","","","","","/tmp/tmph9qvmxnb/evidence/domain/maynardnexsen.com.json","","2026-06-30T12:37:38.414211Z","business consulting firm advisor email","2026-04-01T12:37:38.414194Z","","","8055c3bc72e3878ba6e1a5f7b874d5945ec7ff3c74a9c42d6abab1ee969654ae","1.0.0","","","scored"
"","","","","","","","","","","","","","0.0","0.0009","0.0","0.0009","findemails.com","","","false","false","Failed to parse response","0.0","llm","llama3","c2f677fd60cbe7bb2c90b3d7361ff68901e906622af9855032ff9210eba29c59","0.0","0.3","0df4f62e-7301-507b-9ae6-9c95104dda79","","","","","/tmp/tmph9qvmxnb/evidence/domain/findemails.com.json","","2026-06-30T12:38:24.212104Z","SaaS startup CEO contact information","2026-04-01T12:38:24.212091Z","","","8055c3bc72e3878ba6e1a5f7b874d5945ec7ff3c74a9c42d6abab1ee969654ae","1.0.0","","","scored"
"","","","","","","","","","","","","","0.0","0.0009","0.0","0.0009","kmklaw.com","","","false","false","Failed to parse response","0.0","llm","llama3","bbd782d4fc2897d7bfd91cec24dbf9f1a27c782c20dcfbb8a7e890fd9c5386f5","0.0","0.3","c25c84cf-95b7-502e-a452-9aedeb5e553a","","","","","/tmp/tmph9qvmxnb/evidence/domain/kmklaw.com.json","","2026-06-30T12:39:15.731143Z","venture consulting firm partner email","2026-04-01T12:39:15.731135Z","","","8055c3bc72e3878ba6e1a5f7b874d5945ec7ff3c74a9c42d6abab1ee969654ae","1.0.0","","","scored"
"","","","","","","","","","","","","","0.0","0.0009","0.0","0.0009","venturebest.com","","","false","false","Failed to parse response","0.0","llm","llama3","92eeac6397c22779533c98bea0dfa26ba67c73ec5a6879553376be07e29bbbff","0.0","0.3","02a3a678-08fd-5496-bf20-275e188d6428","","","","","/tmp/tmph9qvmxnb/evidence/domain/venturebest.com.json","","2026-06-30T12:39:16.181426Z","venture consulting firm partner email","2026-04-01T12:39:16.181406Z","","","8055c3bc72e3878ba6e1a5f7b874d5945ec7ff3c74a9c42d6abab1ee969654ae","1.0.0","","","scored"
"","","","","","","","","","","","","","0.0","0.0009","0.0","0.0009","technori.com","","","false","false","Failed to parse response","0.0","llm","llama3","bbdb9a8e02a31e4c4c226c6bd8e34ec5c9b36b62e1a95d577529d3461805e0d6","0.0","0.3","18586bc0-5889-5b1e-82ce-30f3cec8c543","","","","","/tmp/tmph9qvmxnb/evidence/domain/technori.com.json","","2026-06-30T12:39:27.775743Z","tech startup founder contact page","2026-04-01T12:39:27.775734Z","","","8055c3bc72e3878ba6e1a5f7b874d5945ec7ff3c74a9c42d6abab1ee969654ae","1.0.0","","","scored"
"","","","","","","","","","","","","","0.0","0.0009","0.0","0.0009","huronconsultinggroup.com","","","false","false","Failed to parse response","0.0","llm","llama3","6a37e69352667be65605bbdad387b4ce9859df45cc1a963336a3dce97708e744","0.0","0.3","675e1da9-4714-5308-9bac-9b21bfa7e3e5","","","","","/tmp/tmph9qvmxnb/evidence/domain/huronconsultinggroup.com.json","","2026-06-30T12:39:30.373157Z","management consulting firm director email","2026-04-01T12:39:30.373142Z","","","8055c3bc72e3878ba6e1a5f7b874d5945ec7ff3c74a9c42d6abab1ee969654ae","1.0.0","","","scored"
"","","","","","","","","","","","","","0.0","0.0009","0.0","0.0009","bridgepointconsulting.com","","","false","false","Failed to parse response","0.0","llm","llama3","3fa548350d6a7a456db70a963e51688d9851ea706e45261149b32a39e582089b","0.0","0.3","59257d2c-5293-5164-b67b-7a7c6f1d6046","","","","","/tmp/tmph9qvmxnb/evidence/domain/bridgepointconsulting.com.json","","2026-06-30T12:39:30.831728Z","management consulting firm director email","2026-04-01T12:39:30.831715Z","","","8055c3bc72e3878ba6e1a5f7b874d5945ec7ff3c74a9c42d6abab1ee969654ae","1.0.0","","","scored"
"","","","","","","","","","","","","","0.0","0.0009","0.0","0.0009","bain.com","","","false","false","Failed to parse response","0.0","llm","llama3","2fa3b9d3cd3c9f4aa48833b23dde45e750c2a5f573fb0ed56de78580458b17a5","0.0","0.3","cb1609fe-351b-5b2a-baef-ad5042567055","","","","","/tmp/tmph9qvmxnb/evidence/domain/bain.com.json","","2026-06-30T12:39:31.274858Z","management consulting firm director email","2026-04-01T12:39:31.274834Z","","","8055c3bc72e3878ba6e1a5f7b874d5945ec7ff3c74a9c42d6abab1ee969654ae","1.0.0","","","scored"
"","","","","","","","","","","","","","0.0","0.0009","0.0","0.0009","holtconsultingco.com","","","false","false","Failed to parse response","0.0","llm","llama3","01b332ce3b73f105974552a25f73b404bfcee6e567afc45b224022dea4ed00f1","0.0","0.3","c13753d0-4804-5492-829f-f9ce7188a7c9","","","","","/tmp/tmph9qvmxnb/evidence/domain/holtconsultingco.com.json","","2026-06-30T12:39:31.711781Z","management consulting firm director email","2026-04-01T12:39:31.711762Z","","","8055c3bc72e3878ba6e1a5f7b874d5945ec7ff3c74a9c42d6abab1ee969654ae","1.0.0","","","scored"
